,Job Code,Job Title,Job Family,Description
23,23-2093,"Title Examiners, Abstractors, and Searchers",Legal Occupations,"Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes.  May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies."
25,25-1011,"Business Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1021,"Computer Science Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in computer science.  May specialize in a field of computer science, such as the design and function of computers or operations and research analysis.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1022,"Mathematical Science Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1031,"Architecture Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1032,"Engineering Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services.  Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.  Excludes ""Computer Science Teachers, Postsecondary"" (25-1021)."
25,25-1041,"Agricultural Sciences Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in the agricultural sciences.  Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.  Excludes “Forestry and Conservation Science Teachers, Postsecondary” (25-1043)."
25,25-1042,"Biological Science Teachers, Postsecondary","Education, Training, and Library Occupations",Teach courses in biological sciences.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1043,"Forestry and Conservation Science Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in forestry and conservation science.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.  Excludes ""Agricultural Science Teachers, Postsecondary"" (25-1041) and “Environmental Science Teachers, Postsecondary” (25-1053)."
25,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in the physical sciences, except chemistry and physics.  Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research."
25,25-1052,"Chemistry Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses pertaining to the chemical and physical properties and compositional changes of substances.  Work may include instruction in the methods of qualitative and quantitative chemical analysis.  Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.  Excludes ""Biological Science Teachers, Postsecondary"" (25-1042) who teach biochemistry."
25,25-1053,"Environmental Science Teachers, Postsecondary","Education, Training, and Library Occupations",Teach courses in environmental science.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1054,"Physics Teachers, Postsecondary","Education, Training, and Library Occupations",Teach courses pertaining to the laws of matter and energy.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1061,"Anthropology and Archeology Teachers, Postsecondary","Education, Training, and Library Occupations",Teach courses in anthropology or archeology.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women’s studies, or urban affairs.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1063,"Economics Teachers, Postsecondary","Education, Training, and Library Occupations",Teach courses in economics.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1064,"Geography Teachers, Postsecondary","Education, Training, and Library Occupations",Teach courses in geography.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1065,"Political Science Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in political science, international affairs, and international relations.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1066,"Psychology Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1067,"Sociology Teachers, Postsecondary","Education, Training, and Library Occupations",Teach courses in sociology.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1071,"Health Specialties Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine.  Excludes ""Nursing Instructors and Teachers, Postsecondary"" (25-1072) and ""Biological Science Teachers, Postsecondary"" (25-1042) who teach medical science."
25,25-1072,"Nursing Instructors and Teachers, Postsecondary","Education, Training, and Library Occupations",Demonstrate and teach patient care in classroom and clinical units to nursing students.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1081,"Education Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1082,"Library Science Teachers, Postsecondary","Education, Training, and Library Occupations",Teach courses in library science.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in criminal justice, corrections, and law enforcement administration.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1112,"Law Teachers, Postsecondary","Education, Training, and Library Occupations",Teach courses in law.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1113,"Social Work Teachers, Postsecondary","Education, Training, and Library Occupations",Teach courses in social work.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1121,"Art, Drama, and Music Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1122,"Communications Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1123,"English Language and Literature Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in English language and literature, including linguistics and comparative literature.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1124,"Foreign Language and Literature Teachers, Postsecondary","Education, Training, and Library Occupations",Teach languages and literature courses in languages other than English.  Includes teachers of American Sign Language (ASL).  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.  
25,25-1125,"History Teachers, Postsecondary","Education, Training, and Library Occupations",Teach courses in human history and historiography.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25,25-1126,"Philosophy and Religion Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in philosophy, religion, and theology.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1191,Graduate Teaching Assistants,"Education, Training, and Library Occupations","Assist faculty or other instructional staff in postsecondary institutions by performing teaching or teaching-related duties, such as teaching lower level courses, developing teaching materials, preparing and giving examinations, and grading examinations or papers.  Graduate teaching assistants must be enrolled in a graduate school program.  Graduate assistants who primarily perform non-teaching duties, such as research, should be reported in the occupational category related to the work performed.  Excludes “Teacher Assistants” (25-9041)."
25,25-1192,"Home Economics Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary","Education, Training, and Library Occupations","Teach courses pertaining to recreation, leisure, and fitness studies, including exercise physiology and facilities management.  Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25,25-1194,"Vocational Education Teachers, Postsecondary","Education, Training, and Library Occupations","Teach or instruct vocational or occupational subjects at the postsecondary level (but at less than the baccalaureate) to students who have graduated or left high school.  Includes correspondence school instructors; industrial, commercial, and government training instructors; and adult education teachers and instructors who prepare persons to operate industrial machinery and equipment and transportation and communications equipment.  Teaching may take place in public or private schools whose primary business is education or in a school associated with an organization whose primary business is other than education."
25,25-2011,"Preschool Teachers, Except Special Education","Education, Training, and Library Occupations","Instruct preschool-aged children in activities designed to promote social, physical, and intellectual growth needed for primary school in preschool, day care center, or other child development facility.  Substitute teachers are included in ""Teachers and Instructors, All Other"" (25-3099).  May be required to hold State certification.  Excludes ""Childcare Workers"" (39-9011) and ""Special Education Teachers"" (25-2050)."
25,25-2012,"Kindergarten Teachers, Except Special Education","Education, Training, and Library Occupations","Teach elemental natural and social science, personal hygiene, music, art, and literature to kindergarten students.  Promote physical, mental, and social development.  May be required to hold State certification.  Substitute teachers are included in ""Teachers and Instructors, All Other"" (25-3099).  Excludes ""Special Education Teachers"" (25-2050)."
25,25-2021,"Elementary School Teachers, Except Special Education","Education, Training, and Library Occupations","Teach students basic academic, social, and other formative skills in public or private schools at the elementary level.  Substitute teachers are included in ""Teachers and Instructors, All Other"" (25-3099).  Excludes ""Special Education Teachers"" (25-2050)."
25,25-2022,"Middle School Teachers, Except Special and Career/Technical Education","Education, Training, and Library Occupations","Teach students in one or more subjects in public or private schools at the middle, intermediate, or junior high level, which falls between elementary and senior high school as defined by applicable laws and regulations.  Substitute teachers are included in ""Teachers and Instructors, All Other"" (25-3099).  Excludes ""Career/Technical Education Teachers, Middle School "" (25-2023) and ""Special Education Teachers"" (25-2050).  "
25,25-2023,"Career/Technical Education Teachers, Middle School","Education, Training, and Library Occupations","Teach occupational, career and technical, or vocational subjects in public or private schools at the middle, intermediate, or junior high level, which falls between elementary and senior high school as defined by applicable laws and regulations.  Substitute teachers are included in ""Teachers and Instructors, All Other"" (25-3099).  Excludes ""Special Education Teachers"" (25-2050). "
25,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","Education, Training, and Library Occupations","Teach students in one or more subjects, such as English, mathematics, or social studies at the secondary level in public or private schools.  May be designated according to subject matter specialty.  Substitute teachers are included in ""Teachers and Instructors, All Other"" (25-3099).  Excludes ""Career/Technical Education Teachers, Secondary School"" (25-2032) and ""Special Education Teachers"" (25-2050)."
25,25-2032,"Career/Technical Education Teachers, Secondary School","Education, Training, and Library Occupations","Teach occupational, career and technical, or vocational subjects at the secondary school level in public or private schools.  Substitute teachers are included in ""Teachers and Instructors, All Other"" (25-3099).  Excludes “Special Education Teachers, Secondary School” (25-2054)."
25,25-2053,"Special Education Teachers, Middle School","Education, Training, and Library Occupations","Teach middle school subjects to educationally and physically handicapped students.  Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.  Substitute teachers are included in ""Teachers and Instructors, All Other"" (25-3099).  "
25,25-2054,"Special Education Teachers, Secondary School","Education, Training, and Library Occupations","Teach secondary school subjects to educationally and physically handicapped students.  Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.  Substitute teachers are included in ""Teachers and Instructors, All Other"" (25-3099).  "
25,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"Education, Training, and Library Occupations","Teach or instruct out-of-school youths and adults in remedial education classes, preparatory classes for the General Educational Development test, literacy, or English as a Second Language.  Teaching may or may not take place in a traditional educational institution."
25,25-3021,Self-Enrichment Education Teachers,"Education, Training, and Library Occupations","Teach or instruct courses other than those that normally lead to an occupational objective or degree. Courses may include self-improvement, nonvocational, and nonacademic subjects.  Teaching may or may not take place in a traditional educational institution. Excludes “Fitness Trainers and Aerobics Instructors” (39-9031).  Flight instructors are included with “Aircraft Pilots and Flight Engineers” (53-2010)."
25,25-4011,Archivists,"Education, Training, and Library Occupations","Appraise, edit, and direct safekeeping of permanent records and historically valuable documents.  Participate in research activities based on archival materials."
25,25-4012,Curators,"Education, Training, and Library Occupations","Administer collections, such as artwork, collectibles, historic items, or scientific specimens of museums or other institutions.  May conduct instructional, research, or public service activities of institution. "
25,25-4013,Museum Technicians and Conservators,"Education, Training, and Library Occupations","Restore, maintain, or prepare objects in museum collections for storage, research, or exhibit.  May work with specimens such as fossils, skeletal parts, or botanicals; or artifacts, textiles, or art.  May identify and record objects or install and arrange them in exhibits.  Includes book or document conservators."
25,25-4021,Librarians,"Education, Training, and Library Occupations","Administer libraries and perform related library services.  Work in a variety of settings, including public libraries, educational institutions, museums, corporations, government agencies, law firms, non-profit organizations, and healthcare providers.  Tasks may include selecting, acquiring, cataloguing, classifying, circulating, and maintaining library materials; and furnishing reference, bibliographical, and readers' advisory services.  May perform in-depth, strategic research, and synthesize, analyze, edit, and filter information.  May set up or work with databases and information systems to catalogue and access information."
25,25-4031,Library Technicians,"Education, Training, and Library Occupations","Assist librarians by helping readers in the use of library catalogs, databases, and indexes to locate books and other materials; and by answering questions that require only brief consultation of standard reference.  Compile records; sort and shelve books or other media; remove or repair damaged books or other media; register patrons; and check materials in and out of the circulation process.  Replace materials in shelving area (stacks) or files.  Includes bookmobile drivers who assist with providing services in mobile libraries."
25,25-9011,Audio-Visual and Multimedia Collections Specialists,"Education, Training, and Library Occupations","Prepare, plan, and operate multimedia teaching aids for use in education.  May record, catalogue, and file materials."
25,25-9021,Farm and Home Management Advisors,"Education, Training, and Library Occupations","Advise, instruct, and assist individuals and families engaged in agriculture, agricultural-related processes, or home economics activities.  Demonstrate procedures and apply research findings to solve problems; and instruct and train in product development, sales, and the use of machinery and equipment to promote general welfare.  Includes county agricultural agents, feed and farm management advisers, home economists, and extension service advisors."
25,25-9031,Instructional Coordinators,"Education, Training, and Library Occupations","Develop instructional material, coordinate educational content, and incorporate current technology in specialized fields that provide guidelines to educators and instructors for developing curricula and conducting courses.  Includes educational consultants and specialists, and instructional material directors."
25,25-9041,Teacher Assistants,"Education, Training, and Library Occupations",Perform duties that are instructional in nature or deliver direct services to students or parents.  Serve in a position for which a teacher has ultimate responsibility for the design and implementation of educational programs and services.  Excludes “Graduate Teaching Assistants” (25-1191).
27,27-1011,Art Directors,"Arts, Design, Entertainment, Sports, and Media Occupations","Formulate design concepts and presentation approaches for visual communications media, such as print, broadcasting, and advertising.  Direct workers engaged in art work or layout design.  "
27,27-1012,Craft Artists,"Arts, Design, Entertainment, Sports, and Media Occupations","Create or reproduce hand-made objects for sale and exhibition using a variety of techniques, such as welding, weaving, pottery, and needlecraft."
27,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators","Arts, Design, Entertainment, Sports, and Media Occupations",Create original artwork using any of a wide variety of media and techniques.
27,27-1014,Multimedia Artists and Animators,"Arts, Design, Entertainment, Sports, and Media Occupations","Create special effects, animation, or other visual images using film, video, computers, or other electronic tools and media for use in products or creations, such as computer games, movies, music videos, and commercials."
27,27-1021,Commercial and Industrial Designers,"Arts, Design, Entertainment, Sports, and Media Occupations","Develop and design manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design."
27,27-1023,Floral Designers,"Arts, Design, Entertainment, Sports, and Media Occupations","Design, cut, and arrange live, dried, or artificial flowers and foliage."
27,27-1024,Graphic Designers,"Arts, Design, Entertainment, Sports, and Media Occupations","Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos.  May use a variety of mediums to achieve artistic or decorative effects."
27,27-1025,Interior Designers,"Arts, Design, Entertainment, Sports, and Media Occupations","Plan, design, and furnish interiors of residential, commercial, or industrial buildings.  Formulate design which is practical, aesthetic, and conducive to intended purposes, such as raising productivity, selling merchandise, or improving life style.  May specialize in a particular field, style, or phase of interior design.  Excludes ""Merchandise Displayers and Window Trimmers"" (27-1026)."
27,27-1026,Merchandise Displayers and Window Trimmers,"Arts, Design, Entertainment, Sports, and Media Occupations","Plan and erect commercial displays, such as those in windows and interiors of retail stores and at trade exhibitions."
27,27-1027,Set and Exhibit Designers,"Arts, Design, Entertainment, Sports, and Media Occupations","Design special exhibits and movie, television, and theater sets.  May study scripts, confer with directors, and conduct research to determine appropriate architectural styles."
27,27-2011,Actors,"Arts, Design, Entertainment, Sports, and Media Occupations","Play parts in stage, television, radio, video, motion picture productions, or other settings for entertainment, information, or instruction.  Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience.  May dance and sing."
27,27-2012,Producers and Directors,"Arts, Design, Entertainment, Sports, and Media Occupations","Produce or direct stage, television, radio, video, or motion picture productions for entertainment, information, or instruction.  Responsible for creative decisions, such as interpretation of script, choice of actors or guests, set design, sound, special effects, and choreography."
27,27-2021,Athletes and Sports Competitors,"Arts, Design, Entertainment, Sports, and Media Occupations",Compete in athletic events.
27,27-2022,Coaches and Scouts,"Arts, Design, Entertainment, Sports, and Media Occupations","Instruct or coach groups or individuals in the fundamentals of sports.  Demonstrate techniques and methods of participation.  May evaluate athletes' strengths and weaknesses as possible recruits or to improve the athletes' technique to prepare them for competition.  Those required to hold teaching degrees should be reported in the appropriate teaching category.  Excludes ""Athletic Trainers"" (29-9091).  "
27,27-2023,"Umpires, Referees, and Other Sports Officials","Arts, Design, Entertainment, Sports, and Media Occupations","Officiate at competitive athletic or sporting events.  Detect infractions of rules and decide penalties according to established regulations.  Includes all sporting officials, referees, and competition judges."
27,27-2032,Choreographers,"Arts, Design, Entertainment, Sports, and Media Occupations",Create new dance routines.  Rehearse performance of routines.  May direct and stage presentations.
27,27-2041,Music Directors and Composers,"Arts, Design, Entertainment, Sports, and Media Occupations","Conduct, direct, plan, and lead instrumental or vocal performances by musical groups, such as orchestras, bands, choirs, and glee clubs.  Includes arrangers, composers, choral directors, and orchestrators."
27,27-3011,Radio and Television Announcers,"Arts, Design, Entertainment, Sports, and Media Occupations","Speak or read from scripted materials, such as news reports or commercial messages, on radio or television.  May announce artist or title of performance, identify station, or interview guests.  Excludes “Broadcast News Analysts” (27-3021).  "
27,27-3012,Public Address System and Other Announcers,"Arts, Design, Entertainment, Sports, and Media Occupations","Make announcements over public address system at sporting or other public events.  May act as master of ceremonies or disc jockey at weddings, parties, clubs, or other gathering places."
27,27-3021,Broadcast News Analysts,"Arts, Design, Entertainment, Sports, and Media Occupations","Analyze, interpret, and broadcast news received from various sources."
27,27-3022,Reporters and Correspondents,"Arts, Design, Entertainment, Sports, and Media Occupations","Collect and analyze facts about newsworthy events by interview, investigation, or observation.  Report and write stories for newspaper, news magazine, radio, or television.  Excludes ""Broadcast News Analysts"" (27-3021)."
27,27-3031,Public Relations Specialists,"Arts, Design, Entertainment, Sports, and Media Occupations","Engage in promoting or creating an intended public image for individuals, groups, or organizations.  May write or select material for release to various communications media. "
27,27-3041,Editors,"Arts, Design, Entertainment, Sports, and Media Occupations","Plan, coordinate, or edit content of material for publication.  May review proposals and drafts for possible publication.  Includes technical editors."
27,27-3042,Technical Writers,"Arts, Design, Entertainment, Sports, and Media Occupations","Write technical materials, such as equipment manuals, appendices, or operating and maintenance instructions.  May assist in layout work."
27,27-3043,Writers and Authors,"Arts, Design, Entertainment, Sports, and Media Occupations","Originate and prepare written material, such as scripts, stories, advertisements, and other material.  Excludes ""Public Relations Specialists"" (27-3031) and ""Technical Writers"" (27-3042)."
27,27-3091,Interpreters and Translators,"Arts, Design, Entertainment, Sports, and Media Occupations","Interpret oral or sign language, or translate written text from one language into another."
27,27-4011,Audio and Video Equipment Technicians,"Arts, Design, Entertainment, Sports, and Media Occupations","Set up, or set up and operate audio and video equipment including microphones, sound speakers, video screens, projectors, video monitors, recording equipment, connecting wires and cables, sound and mixing boards, and related electronic equipment for concerts, sports events, meetings and conventions, presentations, and news conferences.  May also set up and operate associated spotlights and other custom lighting systems.  Excludes ""Sound Engineering Technicians"" (27-4014)."
27,27-4012,Broadcast Technicians,"Arts, Design, Entertainment, Sports, and Media Occupations","Set up, operate, and maintain the electronic equipment used to transmit radio and television programs.  Control audio equipment to regulate volume level and quality of sound during radio and television broadcasts.  Operate transmitter to broadcast radio or television programs."
27,27-4014,Sound Engineering Technicians,"Arts, Design, Entertainment, Sports, and Media Occupations","Operate machines and equipment to record, synchronize, mix, or reproduce music, voices, or sound effects in sporting arenas, theater productions, recording studios, or movie and video productions."
27,27-4021,Photographers,"Arts, Design, Entertainment, Sports, and Media Occupations","Photograph people, landscapes, merchandise, or other  subjects, using digital or film cameras and equipment.  May develop negatives or use computer software to produce finished images and prints.  Includes scientific photographers, aerial photographers, and photojournalists."
27,27-4031,"Camera Operators, Television, Video, and Motion Picture","Arts, Design, Entertainment, Sports, and Media Occupations","Operate television, video, or motion picture camera to record images or scenes for various purposes, such as TV broadcasts, advertising, video production, or motion pictures."
27,27-4032,Film and Video Editors,"Arts, Design, Entertainment, Sports, and Media Occupations","Edit moving images on film, video, or other media.  May edit or synchronize soundtracks with images.  Excludes “Sound Engineering Technicians”(27-4014)."
29,29-1011,Chiropractors,Healthcare Practitioners and Technical Occupations,"Assess, treat, and care for patients by manipulation of spine and musculoskeletal system.  May provide spinal adjustment or address sacral or pelvic misalignment."
29,29-1021,"Dentists, General",Healthcare Practitioners and Technical Occupations,"Examine, diagnose, and treat diseases, injuries, and malformations of teeth and gums.  May treat diseases of nerve, pulp, and other dental tissues affecting oral hygiene and retention of teeth.  May fit dental appliances or provide preventive care.  Excludes ""Prosthodontists"" (29-1024), ""Orthodontists"" (29-1023), ""Oral and Maxillofacial Surgeons"" (29-1022) and ""Dentists, All Other Specialists"" (29-1029).   "
29,29-1022,Oral and Maxillofacial Surgeons,Healthcare Practitioners and Technical Occupations,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects.  May diagnose problems of the oral and maxillofacial regions.  May perform surgery to improve function or appearance."
29,29-1023,Orthodontists,Healthcare Practitioners and Technical Occupations,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies.  Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance."
29,29-1024,Prosthodontists,Healthcare Practitioners and Technical Occupations,"Construct oral prostheses to replace missing teeth and other oral structures to correct natural and acquired deformation of mouth and jaws, to restore and maintain oral function, such as chewing and speaking, and to improve appearance."
29,29-1031,Dietitians and Nutritionists,Healthcare Practitioners and Technical Occupations,"Plan and conduct food service or nutritional programs to assist in the promotion of health and control of disease.  May supervise activities of a department providing quantity food services, counsel individuals, or conduct nutritional research."
29,29-1041,Optometrists,Healthcare Practitioners and Technical Occupations,"Diagnose, manage, and treat conditions and diseases of the human eye and visual system.  Examine eyes and visual system, diagnose problems or impairments, prescribe corrective lenses, and provide treatment.  May prescribe therapeutic drugs to treat specific eye conditions.  Ophthalmologists are included in “Physicians and Surgeons, All Other” (29-1069)."
29,29-1051,Pharmacists,Healthcare Practitioners and Technical Occupations,"Dispense drugs prescribed by physicians and other health practitioners and provide information to patients about medications and their use.  May advise physicians and other health practitioners on the selection, dosage, interactions, and side effects of medications."
29,29-1061,Anesthesiologists,Healthcare Practitioners and Technical Occupations,"Physicians who administer anesthetics prior to, during, or after surgery, or other medical procedures."
29,29-1062,Family and General Practitioners,Healthcare Practitioners and Technical Occupations,"Physicians who diagnose, treat, and help prevent diseases and injuries that commonly occur in the general population.  May refer patients to specialists when needed for further diagnosis or treatment."
29,29-1063,"Internists, General",Healthcare Practitioners and Technical Occupations,"Physicians who diagnose and provide non-surgical treatment of diseases and injuries of internal organ systems.  Provide care mainly for adults who have a wide range of problems associated with the internal organs.  Subspecialists, such as cardiologists and gastroenterologists, are included in ""Physicians and Surgeons, All Other"" (29-1069). "
29,29-1064,Obstetricians and Gynecologists,Healthcare Practitioners and Technical Occupations,"Physicians who provide medical care related to pregnancy or childbirth and those who diagnose, treat, and help prevent diseases of women, particularly those affecting the reproductive system.  May also provide general medical care to women."
29,29-1065,"Pediatricians, General",Healthcare Practitioners and Technical Occupations,"Physicians who diagnose, treat, and help prevent children's diseases and injuries."
29,29-1066,Psychiatrists,Healthcare Practitioners and Technical Occupations,"Physicians who diagnose, treat, and help prevent disorders of the mind."
29,29-1067,Surgeons,Healthcare Practitioners and Technical Occupations,"Physicians who treat diseases, injuries, and deformities by invasive, minimally-invasive, or non-invasive surgical methods, such as using instruments, appliances, or by manual manipulation.  Excludes ""Oral and Maxillofacial Surgeons"" (29-1022)."
29,29-1071,Physician Assistants,Healthcare Practitioners and Technical Occupations,"Provide healthcare services typically performed by a physician, under the supervision of a physician.  Conduct complete physicals, provide treatment, and counsel patients.  May, in some cases, prescribe medication.  Must graduate from an accredited educational program for physician assistants.  Excludes ""Emergency Medical Technicians and Paramedics"" (29-2041), ""Medical Assistants"" (31-9092), ""Registered Nurses"" (29-1141), “Nurse Anesthetists” (29-1151), “Nurse Midwives” (29-1161), and “Nurse Practitioners” (29-1171)."
29,29-1081,Podiatrists,Healthcare Practitioners and Technical Occupations,Diagnose and treat diseases and deformities of the human foot.
29,29-1122,Occupational Therapists,Healthcare Practitioners and Technical Occupations,"Assess, plan, organize, and participate in rehabilitative programs that help build or restore vocational, homemaking, and daily living skills, as well as general independence, to persons with disabilities or developmental delays."
29,29-1123,Physical Therapists,Healthcare Practitioners and Technical Occupations,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury."
29,29-1124,Radiation Therapists,Healthcare Practitioners and Technical Occupations,"Provide radiation therapy to patients as prescribed by a radiologist according to established practices and standards.  Duties may include reviewing prescription and diagnosis; acting as liaison with physician and supportive care personnel; preparing equipment, such as immobilization, treatment, and protection devices; and maintaining records, reports, and files.  May assist in dosimetry procedures and tumor localization."
29,29-1125,Recreational Therapists,Healthcare Practitioners and Technical Occupations,"Plan, direct, or coordinate medically-approved recreation programs for patients in hospitals, nursing homes, or other institutions.  Activities include sports, trips, dramatics, social activities, and arts and crafts.  May assess a patient condition and recommend appropriate recreational activity.  Excludes “Recreation Workers” (39-9032)."
29,29-1126,Respiratory Therapists,Healthcare Practitioners and Technical Occupations,"Assess, treat, and care for patients with breathing disorders.  Assume primary responsibility for all respiratory care modalities, including the supervision of respiratory therapy technicians.  Initiate and conduct therapeutic procedures; maintain patient records; and select, assemble, check, and operate equipment."
29,29-1127,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,"Assess and treat persons with speech, language, voice, and fluency disorders.  May select alternative communication systems and teach their use.  May perform research related to speech and language problems."
29,29-1131,Veterinarians,Healthcare Practitioners and Technical Occupations,"Diagnose, treat, or research diseases and injuries of animals.  Includes veterinarians who conduct research and development, inspect livestock, or care for pets and companion animals."
29,29-1181,Audiologists,Healthcare Practitioners and Technical Occupations,Assess and treat persons with hearing and related disorders.  May fit hearing aids and provide auditory training.  May perform research related to hearing problems.
29,29-2021,Dental Hygienists,Healthcare Practitioners and Technical Occupations,"Clean teeth and examine oral areas, head, and neck for signs of oral disease.  May educate patients on oral hygiene, take and develop x rays, or apply fluoride or sealants."
29,29-2031,Cardiovascular Technologists and Technicians,Healthcare Practitioners and Technical Occupations,"Conduct tests on pulmonary or cardiovascular systems of patients for diagnostic purposes.  May conduct or assist in electrocardiograms, cardiac catheterizations, pulmonary functions, lung capacity, and similar tests.  Includes vascular technologists."
29,29-2032,Diagnostic Medical Sonographers,Healthcare Practitioners and Technical Occupations,Produce ultrasonic recordings of internal organs for use by physicians.
