Job Code,Job Title,Job Family,Race ahead of the Machine,Race with the Machine,Race against the Machine,Running a Different Race
27-4032,Film and Video Editors,"Arts, Design, Entertainment, Sports, and Media Occupations",5.779086348,-3.972073739,1.296684407,-6.46093166
29-1011,Chiropractors,Healthcare Practitioners and Technical Occupations,3.017535616,-5.765991149,2.496578813,1.717543216
29-1021,"Dentists, General",Healthcare Practitioners and Technical Occupations,4.378164745,-2.628921658,10.64977276,0.418909243
29-1022,Oral and Maxillofacial Surgeons,Healthcare Practitioners and Technical Occupations,-0.707614721,3.800056694,1.252397627,-4.821083455
29-1023,Orthodontists,Healthcare Practitioners and Technical Occupations,9.679357902,-5.77104641,-5.55791477,-6.944881035
29-1024,Prosthodontists,Healthcare Practitioners and Technical Occupations,1.406326706,9.582221723,-0.550696407,5.864993772
29-1031,Dietitians and Nutritionists,Healthcare Practitioners and Technical Occupations,23.07461816,19.11772759,22.631387,1.042961975
29-1041,Optometrists,Healthcare Practitioners and Technical Occupations,14.65673366,4.648284567,16.61973209,3.785629848
29-1051,Pharmacists,Healthcare Practitioners and Technical Occupations,22.02781664,8.145953433,23.65762483,7.280825248
29-1061,Anesthesiologists,Healthcare Practitioners and Technical Occupations,-5.129363406,2.721733375,-7.789152778,-6.20333018
29-1062,Family and General Practitioners,Healthcare Practitioners and Technical Occupations,0.41191858,-10.32365796,-5.168718956,1.215608832
29-1063,"Internists, General",Healthcare Practitioners and Technical Occupations,13.66455024,-7.609849883,-7.519965815,-1.779055823
29-1064,Obstetricians and Gynecologists,Healthcare Practitioners and Technical Occupations,4.517826342,4.531547953,3.74506408,-4.116513492
29-1065,"Pediatricians, General",Healthcare Practitioners and Technical Occupations,2.478911973,-4.579923313,-9.603992491,0.632958531
29-1066,Psychiatrists,Healthcare Practitioners and Technical Occupations,8.66742164,-2.343971718,4.572280913,0.972339194
29-1067,Surgeons,Healthcare Practitioners and Technical Occupations,-3.844428233,3.021810756,-8.747395635,-6.699100552
29-1071,Physician Assistants,Healthcare Practitioners and Technical Occupations,9.376443905,2.461503976,9.867658487,1.355095245
29-1081,Podiatrists,Healthcare Practitioners and Technical Occupations,-21.81275025,-17.50494103,-11.59749833,-5.800675227
29-1122,Occupational Therapists,Healthcare Practitioners and Technical Occupations,6.763184967,-2.321618522,7.163437954,0.410676588
29-1123,Physical Therapists,Healthcare Practitioners and Technical Occupations,2.608648027,-12.60960944,-0.776990352,-0.524038318
29-1124,Radiation Therapists,Healthcare Practitioners and Technical Occupations,2.473872564,8.318637899,6.756345751,4.819987612
29-1125,Recreational Therapists,Healthcare Practitioners and Technical Occupations,2.279497972,3.04150331,13.15212704,1.008328403
29-1126,Respiratory Therapists,Healthcare Practitioners and Technical Occupations,13.69938332,2.847368993,10.74944853,13.02187703
29-1127,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,-8.559026068,-7.880448211,-11.80090488,-9.820731302
29-1131,Veterinarians,Healthcare Practitioners and Technical Occupations,-5.286242087,-9.827704873,-10.27127437,-8.555707826
29-1181,Audiologists,Healthcare Practitioners and Technical Occupations,1.811903289,-4.52917532,-6.31818891,-2.761661198
29-2021,Dental Hygienists,Healthcare Practitioners and Technical Occupations,5.403918468,-2.239828351,10.65860802,3.288593414
29-2031,Cardiovascular Technologists and Technicians,Healthcare Practitioners and Technical Occupations,-0.835326705,-14.37525511,-2.149113239,3.519268655
29-2032,Diagnostic Medical Sonographers,Healthcare Practitioners and Technical Occupations,6.13273919,-0.473530796,2.433115655,1.352867004
29-2033,Nuclear Medicine Technologists,Healthcare Practitioners and Technical Occupations,2.404449752,-2.330786596,6.471709973,2.499924199
29-2041,Emergency Medical Technicians and Paramedics,Healthcare Practitioners and Technical Occupations,11.16311082,7.917257591,15.99448513,12.18540895
29-2051,Dietetic Technicians,Healthcare Practitioners and Technical Occupations,1.435416083,14.44567076,2.756227263,-4.620094632
29-2052,Pharmacy Technicians,Healthcare Practitioners and Technical Occupations,5.593250742,9.028235971,12.77549758,4.63219362
29-2053,Psychiatric Technicians,Healthcare Practitioners and Technical Occupations,5.517680554,-0.137443322,13.42199451,-4.092434315
29-2054,Respiratory Therapy Technicians,Healthcare Practitioners and Technical Occupations,-26.75117833,-11.51680331,-6.94893923,-4.241104529
29-2055,Surgical Technologists,Healthcare Practitioners and Technical Occupations,4.437114414,1.832300606,-3.199449996,1.235195688
29-2056,Veterinary Technologists and Technicians,Healthcare Practitioners and Technical Occupations,8.569479631,8.65148872,5.390496709,10.65257861
29-2061,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical Occupations,9.810026619,2.256381437,18.17764575,-1.887174083
29-2071,Medical Records and Health Information Technicians,Healthcare Practitioners and Technical Occupations,5.924239953,-0.509947884,2.504440554,0.143718252
29-2081,"Opticians, Dispensing",Healthcare Practitioners and Technical Occupations,2.277545195,-0.23728575,4.841340728,2.21048334
29-2091,Orthotists and Prosthetists,Healthcare Practitioners and Technical Occupations,-2.958423876,-3.311296388,2.804484375,-0.515113902
29-9011,Occupational Health and Safety Specialists,Healthcare Practitioners and Technical Occupations,4.498729074,-3.376764299,3.053588755,3.597911249
29-9012,Occupational Health and Safety Technicians,Healthcare Practitioners and Technical Occupations,-5.703136313,-2.804511223,-4.100179578,1.661547271
29-9091,Athletic Trainers,Healthcare Practitioners and Technical Occupations,-1.443626492,-9.746622473,-14.14125623,1.731033791
31-1011,Home Health Aides,Healthcare Support Occupations,2.266013108,-3.454027398,2.078029667,-2.867905106
31-1013,Psychiatric Aides,Healthcare Support Occupations,-2.913836365,16.40083093,-4.908076108,3.512365674
31-2011,Occupational Therapy Assistants,Healthcare Support Occupations,-8.286241905,-10.19252114,-4.442654489,-5.889758105
31-2012,Occupational Therapy Aides,Healthcare Support Occupations,-0.4413705,-2.444071369,-0.181266258,-3.449863176
31-2021,Physical Therapist Assistants,Healthcare Support Occupations,-3.055340083,1.973535737,3.272123768,0.51500198
31-2022,Physical Therapist Aides,Healthcare Support Occupations,0.02064834,2.156208538,4.456745556,0.760447271
31-9011,Massage Therapists,Healthcare Support Occupations,-0.497857851,4.548914996,-3.623214705,-1.544473626
31-9091,Dental Assistants,Healthcare Support Occupations,-8.121499637,-9.782996275,8.644001076,-0.066847135
31-9092,Medical Assistants,Healthcare Support Occupations,11.15903547,1.315175596,15.22513644,1.807157078
31-9093,Medical Equipment Preparers,Healthcare Support Occupations,9.112461452,15.02417157,13.85873142,18.17044806
31-9094,Medical Transcriptionists,Healthcare Support Occupations,0.47554323,-0.707673247,-0.785507092,-3.492628987
31-9095,Pharmacy Aides,Healthcare Support Occupations,-4.224695614,10.03836776,2.702428516,2.205103379
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,Healthcare Support Occupations,-5.703079292,3.034975343,5.902468867,-6.629339156
33-1011,First-Line Supervisors of Correctional Officers,Protective Service Occupations,-3.952793838,-2.231916492,4.169494736,-0.683568588
33-1012,First-Line Supervisors of Police and Detectives,Protective Service Occupations,8.695747862,12.08745927,15.93081748,3.401477518
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,Protective Service Occupations,16.60545577,20.585288,11.49034995,13.31816215
33-2011,Firefighters,Protective Service Occupations,-3.858983951,-5.592048617,8.877366392,11.65576974
33-2021,Fire Inspectors and Investigators,Protective Service Occupations,5.108627954,8.780739424,-1.396000228,7.786122347
33-3011,Bailiffs,Protective Service Occupations,1.921505608,-2.074398418,-0.083459652,-0.701504937
33-3012,Correctional Officers and Jailers,Protective Service Occupations,-1.929772035,-6.974947027,-3.944017765,-1.22158977
33-3021,Detectives and Criminal Investigators,Protective Service Occupations,-10.69885046,-2.647099493,-1.629231157,-4.295159344
33-3031,Fish and Game Wardens,Protective Service Occupations,9.799144321,0.100804577,9.638687417,4.452887828
33-3041,Parking Enforcement Workers,Protective Service Occupations,-2.52195639,8.136427272,7.526861565,10.245129
33-3051,Police and Sheriff's Patrol Officers,Protective Service Occupations,3.529569845,9.586075339,6.699923042,3.259098854
33-3052,Transit and Railroad Police,Protective Service Occupations,-0.576693165,12.89351909,11.78111852,3.866775139
33-9011,Animal Control Workers,Protective Service Occupations,-1.583517427,8.782069297,5.898101989,2.692888805
33-9021,Private Detectives and Investigators,Protective Service Occupations,0.979094206,-3.70294292,-2.2410918,-3.565650477
33-9031,Gaming Surveillance Officers and Gaming Investigators,Protective Service Occupations,-14.98690547,0.640464033,-0.502958741,-4.45960464
33-9032,Security Guards,Protective Service Occupations,1.197314038,1.888150072,-1.787093113,2.346224247
33-9091,Crossing Guards,Protective Service Occupations,-2.989268657,1.314401235,-0.469829547,1.077170439
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Protective Service Occupations,0.324233952,1.788265689,3.998555963,2.636752699
35-1011,Chefs and Head Cooks,Food Preparation and Serving Related Occupations,2.539337873,9.857181962,11.96214912,0.881121448
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving Related Occupations,8.362217927,16.32071312,5.667108952,6.005863347
35-2011,"Cooks, Fast Food",Food Preparation and Serving Related Occupations,-6.634305931,-2.021088589,-4.615961103,-2.168308148
35-2012,"Cooks, Institution and Cafeteria",Food Preparation and Serving Related Occupations,-0.479821303,9.199752062,7.307152633,2.727924142
35-2013,"Cooks, Private Household",Food Preparation and Serving Related Occupations,-7.454915169,1.272041477,-5.59286374,-3.993860482
35-2014,"Cooks, Restaurant",Food Preparation and Serving Related Occupations,-3.622309949,7.469108752,2.433787878,-0.07161339
35-2015,"Cooks, Short Order",Food Preparation and Serving Related Occupations,-1.557337578,5.469937918,-0.374179178,-1.747959667
35-2021,Food Preparation Workers,Food Preparation and Serving Related Occupations,4.586424666,2.888132287,2.616607072,0.428362952
35-3011,Bartenders,Food Preparation and Serving Related Occupations,-6.533653772,5.206290935,-4.443839683,4.491882619
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",Food Preparation and Serving Related Occupations,1.830710282,0.68699212,-2.063155354,1.317245708
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Food Preparation and Serving Related Occupations,0,-0.6880819,2.840719504,1.65662971
35-3031,Waiters and Waitresses,Food Preparation and Serving Related Occupations,1.711581389,0.006646675,0.540870879,1.679315344
35-3041,"Food Servers, Nonrestaurant",Food Preparation and Serving Related Occupations,-0.037418581,6.309144139,-1.185834388,-0.329808285
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Food Preparation and Serving Related Occupations,0,2.399527312,3.79787712,-0.661045489
35-9021,Dishwashers,Food Preparation and Serving Related Occupations,-1.457999696,1.453410262,0.251957308,-1.976085447
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving Related Occupations,-0.090323302,-3.168749456,-7.667584728,0.059925828
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance Occupations,-0.724281105,14.38056877,-6.408665021,2.810218174
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning and Maintenance Occupations,-11.09695837,2.195397425,1.586452329,-6.179231134
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building and Grounds Cleaning and Maintenance Occupations,0.150488048,-0.995171837,-0.12098106,-5.566093566
37-2012,Maids and Housekeeping Cleaners,Building and Grounds Cleaning and Maintenance Occupations,-0.415214426,8.796045928,1.367726995,1.870752451
37-2021,Pest Control Workers,Building and Grounds Cleaning and Maintenance Occupations,-16.09563231,-6.963519467,-8.980537858,-0.968111731
37-3011,Landscaping and Groundskeeping Workers,Building and Grounds Cleaning and Maintenance Occupations,0.027763116,12.2528471,4.637325732,-2.12052108
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Building and Grounds Cleaning and Maintenance Occupations,-13.40430881,0.83330948,-1.947402629,-0.214286961
37-3013,Tree Trimmers and Pruners,Building and Grounds Cleaning and Maintenance Occupations,-9.325562121,-7.105790542,-4.627624184,-8.996468168
39-1021,First-Line Supervisors of Personal Service Workers,Personal Care and Service Occupations,-11.83865335,-6.065938749,-3.236995024,-5.883603869
39-2011,Animal Trainers,Personal Care and Service Occupations,-4.553800131,-4.502967023,-5.632727807,-3.558168975
39-2021,Nonfarm Animal Caretakers,Personal Care and Service Occupations,3.730808952,-5.097699155,-2.335840817,-4.260883753
39-3011,Gaming Dealers,Personal Care and Service Occupations,4.128217203,-0.923340597,-2.743635768,-2.693009024
39-3012,Gaming and Sports Book Writers and Runners,Personal Care and Service Occupations,-8.003801874,3.322374477,-7.621624777,-4.927849092
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",Personal Care and Service Occupations,-0.058620656,1.758570112,8.351814181,-0.128695316
39-3091,Amusement and Recreation Attendants,Personal Care and Service Occupations,6.605775513,7.354164682,1.615696555,4.617844125
39-3092,Costume Attendants,Personal Care and Service Occupations,5.199734182,1.319319857,-1.811104393,3.596214262
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",Personal Care and Service Occupations,-0.041489637,-10.33096736,0.190566892,-4.079061791
39-4011,Embalmers,Personal Care and Service Occupations,-3.596791431,-8.185543331,-5.801193086,1.972282541
39-4021,Funeral Attendants,Personal Care and Service Occupations,4.953483579,13.33526727,8.323728867,7.844856792
39-5011,Barbers,Personal Care and Service Occupations,5.650192004,2.557485177,1.021948088,5.170574685
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service Occupations,-2.881519772,0.327031201,2.61443544,-4.339799482
39-5091,"Makeup Artists, Theatrical and Performance",Personal Care and Service Occupations,-5.544914761,-8.796730219,-12.5248067,-3.289123542
39-5092,Manicurists and Pedicurists,Personal Care and Service Occupations,-7.012001651,-2.679255161,-7.163043061,-0.169195454
39-5094,Skincare Specialists,Personal Care and Service Occupations,2.41345753,-2.665895326,-9.779161683,-0.729650749
39-6011,Baggage Porters and Bellhops,Personal Care and Service Occupations,-5.158808239,2.104730792,-1.801116334,0.230193037
39-6012,Concierges,Personal Care and Service Occupations,1.794066345,-7.438919456,-7.119403138,-2.754099822
39-9011,Childcare Workers,Personal Care and Service Occupations,-6.512782984,-2.468502205,-1.174116784,-2.509036119
39-9021,Personal Care Aides,Personal Care and Service Occupations,-1.315102138,7.634433041,-1.513589607,0.538795361
39-9031,Fitness Trainers and Aerobics Instructors,Personal Care and Service Occupations,-2.735635486,-6.990764275,-9.851969557,-1.012181646
39-9032,Recreation Workers,Personal Care and Service Occupations,-16.17629396,7.638593254,2.576228765,-5.351242345
39-9041,Residential Advisors,Personal Care and Service Occupations,8.20619874,-0.647313604,9.911482248,2.452743315
41-1011,First-Line Supervisors of Retail Sales Workers,Sales and Related Occupations,1.181015614,-0.104649196,7.029539466,-3.77308554
41-1012,First-Line Supervisors of Non-Retail Sales Workers,Sales and Related Occupations,14.7324925,21.28824138,19.30216218,-0.364382195
41-2011,Cashiers,Sales and Related Occupations,-3.187538142,-8.907684156,-1.35479044,-7.763772448
41-2012,Gaming Change Persons and Booth Cashiers,Sales and Related Occupations,0.82137239,-9.134408215,-5.001947986,-5.03869293
41-2021,Counter and Rental Clerks,Sales and Related Occupations,-2.939183995,-6.25152524,6.269440902,-2.556813298
41-2022,Parts Salespersons,Sales and Related Occupations,-0.068897935,5.8388677,7.749139828,5.569123203
41-2031,Retail Salespersons,Sales and Related Occupations,4.034896476,-0.048296659,11.74294908,0.884892407
41-3011,Advertising Sales Agents,Sales and Related Occupations,-9.457352943,-2.635807075,-4.142050794,-0.336052271
41-3021,Insurance Sales Agents,Sales and Related Occupations,-14.04871325,-5.014584535,-9.762434013,-0.884317796
41-3031,"Securities, Commodities, and Financial Services Sales Agents",Sales and Related Occupations,-9.29631279,-5.262948808,-10.68235772,-1.754097453
41-3041,Travel Agents,Sales and Related Occupations,4.119707584,-3.160494899,-0.794871353,-0.258274223
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales and Related Occupations,-3.636919722,0.535476037,0.28521091,0.9749122
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related Occupations,0.616037668,-1.086931755,5.36968523,-2.486857519
41-9011,Demonstrators and Product Promoters,Sales and Related Occupations,-3.227878963,3.386281254,8.790150668,0.684029057
41-9021,Real Estate Brokers,Sales and Related Occupations,5.638609339,-2.942840525,3.501288882,0.926462306
41-9022,Real Estate Sales Agents,Sales and Related Occupations,-11.88253418,2.183739513,4.63229927,-2.350369551
41-9031,Sales Engineers,Sales and Related Occupations,-14.40983609,-11.31074666,-15.17842186,-8.942251525
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales and Related Occupations,-2.775618588,0.925891642,6.133606314,0.371849366
43-1011,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support Occupations,-8.516155919,-0.438029401,1.504223391,-2.999041204
43-2011,"Switchboard Operators, Including Answering Service",Office and Administrative Support Occupations,1.214959456,0.438390051,6.822372864,0.028760179
43-3011,Bill and Account Collectors,Office and Administrative Support Occupations,-9.662265281,-1.828294227,-9.076147087,-1.17839071
43-3021,Billing and Posting Clerks,Office and Administrative Support Occupations,1.79952846,0.763682772,2.253683008,-0.881587703
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support Occupations,-13.83010456,-1.074402704,-0.234102528,-1.182726734
43-3041,Gaming Cage Workers,Office and Administrative Support Occupations,-9.210172321,-7.643809196,-3.747379946,-7.463458764
43-3051,Payroll and Timekeeping Clerks,Office and Administrative Support Occupations,-1.64790226,0.318139294,0.063768411,0.649065666
43-3061,Procurement Clerks,Office and Administrative Support Occupations,-3.662364305,-5.382996847,-5.892809535,-3.045295323
43-3071,Tellers,Office and Administrative Support Occupations,-6.903228741,-4.551277264,-0.303338677,-0.637597919
43-4011,Brokerage Clerks,Office and Administrative Support Occupations,-2.590769953,-1.220172528,-5.271037129,-1.35379575
43-4021,Correspondence Clerks,Office and Administrative Support Occupations,-6.970089304,2.063368542,-1.288955056,-5.445508624
43-4031,"Court, Municipal, and License Clerks",Office and Administrative Support Occupations,-0.707179033,-1.275558574,-1.137856795,0.639279428
43-4051,Customer Service Representatives,Office and Administrative Support Occupations,-10.96637701,-0.136279055,-6.504955698,-7.660317263
43-4061,"Eligibility Interviewers, Government Programs",Office and Administrative Support Occupations,-8.876328352,-0.656394368,-0.95475203,0.192349782
43-4071,File Clerks,Office and Administrative Support Occupations,-7.03587678,-1.84258923,-1.598747691,-1.382207178
43-4081,"Hotel, Motel, and Resort Desk Clerks",Office and Administrative Support Occupations,-12.281561,0.069462233,-6.819663575,-0.726836584
43-4111,"Interviewers, Except Eligibility and Loan",Office and Administrative Support Occupations,-2.544840182,-5.63518673,-16.16084787,0.045937407
43-4121,"Library Assistants, Clerical",Office and Administrative Support Occupations,-18.39999137,0.341024894,6.05020135,-0.840156838
43-4131,Loan Interviewers and Clerks,Office and Administrative Support Occupations,8.575456688,1.398235026,5.066036997,-1.790682123
43-4141,New Accounts Clerks,Office and Administrative Support Occupations,-1.011840507,5.802822435,16.09876211,-0.047984145
43-4151,Order Clerks,Office and Administrative Support Occupations,-1.404045893,9.238986233,13.23087862,-1.291353317
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support Occupations,0.146100855,3.63560614,12.19924306,-3.803020078
43-4171,Receptionists and Information Clerks,Office and Administrative Support Occupations,0.370539374,1.24236765,9.648327184,1.989073018
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support Occupations,-0.611004561,2.013392683,-1.086369528,2.13180619
43-5011,Cargo and Freight Agents,Office and Administrative Support Occupations,0.70717012,-0.018066065,-2.279539764,-0.472516946
43-5021,Couriers and Messengers,Office and Administrative Support Occupations,0.435059547,-2.632671543,4.254329816,-1.562064536
43-5031,"Police, Fire, and Ambulance Dispatchers",Office and Administrative Support Occupations,1.725577128,1.722515046,6.854494334,-3.56708346
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",Office and Administrative Support Occupations,-8.274727237,11.3534703,4.663778147,-0.716961785
43-5041,"Meter Readers, Utilities",Office and Administrative Support Occupations,-4.905672049,-0.093374891,3.714117261,4.925964139
43-5051,Postal Service Clerks,Office and Administrative Support Occupations,-5.363790766,-2.12400265,3.983182205,-2.45498077
43-5052,Postal Service Mail Carriers,Office and Administrative Support Occupations,-1.399008755,-3.769875138,-2.364014749,-1.673324903
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Office and Administrative Support Occupations,-0.857693615,10.50456972,-0.659150551,5.452507574
43-5061,"Production, Planning, and Expediting Clerks",Office and Administrative Support Occupations,-4.386867197,2.395710227,2.72797569,1.928432266
43-5071,"Shipping, Receiving, and Traffic Clerks",Office and Administrative Support Occupations,1.580507553,3.338393751,-2.399908016,2.671329119
43-5081,Stock Clerks and Order Fillers,Office and Administrative Support Occupations,1.796004053,3.288867253,1.421006631,1.586854029
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Office and Administrative Support Occupations,-0.368327873,12.06111775,-5.413324164,9.433411373
43-6011,Executive Secretaries and Executive Administrative Assistants,Office and Administrative Support Occupations,1.795739655,1.495868577,8.779988572,0.06500973
43-6012,Legal Secretaries,Office and Administrative Support Occupations,-4.022064347,-2.262757348,1.413071595,-1.291291863
43-6013,Medical Secretaries,Office and Administrative Support Occupations,2.761171713,-0.412061631,2.659220651,0.412925177
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Office and Administrative Support Occupations,-4.654831576,-1.093403805,1.297052082,-0.793312421
43-9011,Computer Operators,Office and Administrative Support Occupations,-15.99685597,-8.109764494,-17.17032144,1.564564941
43-9021,Data Entry Keyers,Office and Administrative Support Occupations,2.121446775,2.790113881,-0.462586446,-3.554299019
43-9022,Word Processors and Typists,Office and Administrative Support Occupations,5.332405897,-1.099480174,3.792169463,0.634488881
43-9031,Desktop Publishers,Office and Administrative Support Occupations,23.00990258,21.54146863,13.16941037,14.38791283
43-9041,Insurance Claims and Policy Processing Clerks,Office and Administrative Support Occupations,-5.045088467,0.426549158,3.367427679,-0.494249174
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",Office and Administrative Support Occupations,6.347065176,5.556478635,5.28744029,6.655549226
43-9061,"Office Clerks, General",Office and Administrative Support Occupations,1.749879854,0.375343392,-1.013650853,0.490007972
43-9071,"Office Machine Operators, Except Computer",Office and Administrative Support Occupations,-14.07105831,-10.82144433,-13.5899556,-8.047657085
43-9081,Proofreaders and Copy Markers,Office and Administrative Support Occupations,-3.883569337,-8.690257968,-8.402665745,-0.60838072
43-9111,Statistical Assistants,Office and Administrative Support Occupations,-12.34919371,0.148815725,-1.331744107,-1.563733271
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry Occupations",-4.154611174,-1.512855694,-0.610345579,-4.296906657
45-2011,Agricultural Inspectors,"Farming, Fishing, and Forestry Occupations",5.137683695,-0.998219647,3.590878322,0.367109961
45-2021,Animal Breeders,"Farming, Fishing, and Forestry Occupations",-7.108871634,-5.603698235,-5.446566105,-8.510451739
45-2041,"Graders and Sorters, Agricultural Products","Farming, Fishing, and Forestry Occupations",1.24815796,8.953795195,2.545113776,5.137593542
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry Occupations",0,1.577597942,-0.170395937,-7.847051193
45-4011,Forest and Conservation Workers,"Farming, Fishing, and Forestry Occupations",-11.50829414,0.067775565,1.217178682,-7.81269831
45-4022,Logging Equipment Operators,"Farming, Fishing, and Forestry Occupations",4.261542909,3.947739511,1.595870652,6.263799029
45-4023,Log Graders and Scalers,"Farming, Fishing, and Forestry Occupations",-6.789441319,-9.733302443,-9.73237353,9.228654644
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction Occupations,-0.176566243,-6.106773099,-1.679647433,6.090585192
47-2011,Boilermakers,Construction and Extraction Occupations,-4.703254097,4.348066437,-1.562392471,9.898300436
47-2021,Brickmasons and Blockmasons,Construction and Extraction Occupations,4.578527482,8.497872198,4.650176999,18.02548051
47-2031,Carpenters,Construction and Extraction Occupations,-6.670375499,-4.841289372,-0.969545042,6.213144624
47-2041,Carpet Installers,Construction and Extraction Occupations,-5.404545004,-28.70445657,-1.590661758,-2.553841095
47-2044,Tile and Marble Setters,Construction and Extraction Occupations,-9.914527999,-21.60501363,-5.335473292,1.558190024
47-2051,Cement Masons and Concrete Finishers,Construction and Extraction Occupations,8.763109916,32.95207407,3.474034863,13.79131859
47-2053,Terrazzo Workers and Finishers,Construction and Extraction Occupations,4.301595932,5.98708758,-0.567097274,-0.993834771
47-2061,Construction Laborers,Construction and Extraction Occupations,-1.665569182,10.94564751,1.203140068,10.71030909
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",Construction and Extraction Occupations,-2.995379113,-7.089124444,-2.838681004,-5.173394759
47-2072,Pile-Driver Operators,Construction and Extraction Occupations,-7.011155205,-2.725746004,-1.555049069,0.534721957
47-2073,Operating Engineers and Other Construction Equipment Operators,Construction and Extraction Occupations,-2.914587232,0.845831099,-0.461377145,7.113272318
47-2081,Drywall and Ceiling Tile Installers,Construction and Extraction Occupations,-14.40056381,-13.69209334,-10.50270061,-14.1116814
47-2082,Tapers,Construction and Extraction Occupations,-4.666569774,-3.482986591,-0.72090491,-0.782587054
47-2111,Electricians,Construction and Extraction Occupations,1.141801893,6.2859658,0.171906047,2.752356744
47-2121,Glaziers,Construction and Extraction Occupations,3.191522968,0.354771317,2.884910811,9.539878603
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",Construction and Extraction Occupations,-1.301705586,-2.262197019,-0.752281668,-3.837030616
47-2141,"Painters, Construction and Maintenance",Construction and Extraction Occupations,0.751829852,0.83199975,1.761350872,1.823562748
47-2151,Pipelayers,Construction and Extraction Occupations,4.523173192,5.200053635,0.750308168,15.2484613
47-2152,"Plumbers, Pipefitters, and Steamfitters",Construction and Extraction Occupations,-13.0776331,1.252429094,-4.769045856,9.589172296
47-2161,Plasterers and Stucco Masons,Construction and Extraction Occupations,-27.78632911,-8.251251495,-12.46959679,-12.604072
47-2171,Reinforcing Iron and Rebar Workers,Construction and Extraction Occupations,2.340802129,-1.56185942,0.002663375,-2.19351568
47-2181,Roofers,Construction and Extraction Occupations,-8.72902475,1.752191606,-0.325146542,-3.322598258
47-2211,Sheet Metal Workers,Construction and Extraction Occupations,1.325549086,3.017446523,1.044712073,16.79359864
47-2221,Structural Iron and Steel Workers,Construction and Extraction Occupations,-8.895485321,-7.750044653,-4.837286406,-4.766213652
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Construction and Extraction Occupations,1.950180233,3.261779117,0.468652414,2.874729308
47-3012,Helpers--Carpenters,Construction and Extraction Occupations,2.570324295,-1.630194448,-1.75946767,9.982299858
47-3013,Helpers--Electricians,Construction and Extraction Occupations,-2.483602854,-12.02167861,-4.900272618,1.800836835
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction and Extraction Occupations,-2.211127647,9.079095555,-0.97699542,1.348375993
47-4011,Construction and Building Inspectors,Construction and Extraction Occupations,-0.091501277,1.666685832,0.43315661,6.847605312
47-4041,Hazardous Materials Removal Workers,Construction and Extraction Occupations,-16.5366471,-11.07226209,-7.405409843,-3.769257137
47-4051,Highway Maintenance Workers,Construction and Extraction Occupations,2.398460564,10.43833369,13.49450018,9.870769073
47-4061,Rail-Track Laying and Maintenance Equipment Operators,Construction and Extraction Occupations,-4.835783034,6.199246736,3.599341997,9.697189054
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,Construction and Extraction Occupations,-10.00869239,-3.865734867,-0.383398806,-0.992011086
